timestamp_frame,x,y
0,932,287
1,1012,359
2,891,579
3,838,65
4,581,125
5,1472,392
6,1158,476
7,869,417
8,594,382
9,465,119
10,457,210
11,645,196
12,692,120
13,1562,23
14,582,541
15,102,348
16,557,529
17,1503,17
18,1614,14
19,460,364
20,460,513
21,478,540
22,450,656
23,1615,15
24,1615,15
25,1631,218
26,95,662
27,284,635
28,239,633
29,109,659
30,229,324
31,1549,13
32,512,464
33,418,539
34,358,52
35,361,51
36,345,680
37,1200,517
38,269,376
39,221,507
40,194,500
41,195,507
42,254,556
43,334,637
44,443,426
45,463,379
46,507,649
47,1212,557
48,1615,15
49,1282,361
50,496,656
51,1519,25
52,1265,114
53,1616,16
54,1616,16
55,1558,708
56,1323,689
57,1318,687
58,1309,688
59,1309,688
60,1269,378
61,1278,358
62,1279,353
63,1616,16
64,459,401
65,435,353
66,1594,90
67,1591,95
68,1588,96
69,1586,69
70,1637,63
71,1189,552
72,408,672
73,466,663
74,347,539
75,277,323
76,1616,16
77,1519,25
78,1562,21
79,1532,70
80,1548,22
81,522,513
82,1432,415
83,1463,367
84,244,652
85,173,623
86,165,616
87,135,547
88,197,627
89,230,654
90,370,666
91,491,652
92,1577,681
93,1566,693
94,1375,534
95,1301,597
96,1303,577
97,428,672
98,374,219
99,340,517
100,368,154
101,879,305
102,368,154
103,368,154
104,1589,19
105,1268,422
106,1325,418
107,1614,15
108,1589,18
109,511,512
110,574,532
111,965,258
112,482,128
113,1614,14
114,565,513
115,679,210
116,1614,15
117,672,356
118,1189,644
119,553,450
120,593,488
121,599,489
122,593,484
123,516,532
124,513,499
125,564,566
126,437,685
127,445,685
128,402,653
129,316,547
130,236,501
131,657,500
132,678,343
133,610,414
134,237,614
135,38,690
136,298,505
137,440,580
138,353,463
139,95,467
140,154,338
141,42,535
142,39,694
143,334,309
144,521,468
145,517,450
146,302,647
147,352,665
148,1616,16
149,357,47
150,1065,345
151,1067,188
152,368,664
153,529,584
154,440,595
155,744,473
156,515,500
157,263,410
158,1293,472
159,388,555
160,902,360
161,251,645
162,336,650
163,380,472
164,395,464
165,202,496
166,222,591
167,312,664
168,357,473
169,299,308
170,126,496
171,446,381
172,166,402
173,390,462
174,764,511
175,329,565
176,150,583
177,389,362
178,382,343
179,445,633
180,1589,19
181,490,621
182,368,155
183,782,328
184,1032,367
185,1467,161
186,351,375
187,1204,46
188,417,475
189,275,518
190,394,547
191,420,665
192,428,659
193,368,155
194,373,660
195,362,652
196,420,676
197,787,296
198,1150,668
199,832,292
200,1474,267
201,1294,438
202,1232,398
203,1346,491
204,82,284
205,171,258
206,165,258
207,455,493
208,905,645
209,332,706
210,1198,167
211,458,232
212,1200,417
213,338,340
214,496,437
215,462,345
216,574,585
217,537,387
218,547,393
219,1233,51
220,437,477
221,404,367
222,912,203
223,1154,208
224,1129,259
225,368,154
226,371,294
227,1100,58
228,910,686
229,965,162
230,233,427
231,1183,111
232,1269,113
233,1492,119
234,1493,119
235,1442,140
236,330,636
237,1316,95
238,499,484
239,1305,127
240,1318,143
241,1234,123
242,1295,122
243,1350,148
244,1354,135
245,1334,120
246,1346,126
247,1361,134
248,302,579
249,1256,477
250,156,70
251,794,282
252,122,68
253,1614,15
254,1522,214
255,1549,22
256,924,355
257,413,392
258,1286,594
259,399,317
260,239,628
261,356,392
262,1269,167
263,356,280
264,688,329
265,368,266
266,407,313
267,485,580
268,480,586
269,384,635
270,863,475
271,1615,15
272,1616,16
273,1616,17
274,1321,655
275,1349,70
276,1277,69
277,446,617
278,458,555
279,468,552
280,1543,68
281,1282,552
282,428,477
283,435,430
284,287,458
285,1615,15
286,363,369
287,1593,184
288,1479,295
289,1565,441
290,1502,229
291,1477,234
292,1467,213
293,307,330
294,325,325
295,352,326
296,811,251
297,835,297
298,1549,21
299,1016,323
300,1589,20
301,1614,15
302,897,361
303,1589,19
304,1589,19
305,1614,15
306,1589,18
307,1615,15
308,938,385
309,1250,499
310,1542,246
311,368,154
312,331,670
313,333,676
314,1614,14
315,473,606
316,473,618
317,191,450
318,513,413
319,780,595
320,1005,625
321,372,285
322,1346,66
323,360,211
324,374,53
325,656,406
326,780,391
327,1204,648
328,1614,15
329,366,58
330,1548,22
331,1615,16
332,375,219
333,357,51
334,1614,15
335,1614,15
336,322,274
337,365,58
338,1459,151
339,1616,17
340,368,155
341,368,155
342,1291,445
343,1265,421
344,1284,600
345,405,385
346,419,387
347,1017,449
348,595,566
349,97,700
350,488,456
351,527,440
352,114,672
353,875,245
354,376,526
355,657,195
356,471,430
357,469,425
358,446,384
359,450,375
360,713,481
361,1589,18
362,378,414
363,892,333
364,470,424
365,467,415
366,456,407
367,1600,73
368,370,42
369,1616,17
370,1616,17
371,1616,17
372,1613,68
373,1590,87
374,1499,69
375,313,433
376,1361,390
377,278,582
378,279,627
379,290,650
380,1615,14
381,217,383
382,843,246
383,1428,136
384,1615,16
385,1615,16
386,1618,19
387,1291,447
388,892,203
389,1240,409
390,344,160
391,1330,432
392,1333,517
393,150,239
394,145,242
395,145,243
396,149,239
397,1180,459
398,156,237
399,412,421
400,1057,563
401,1056,597
402,879,705
403,363,692
404,1361,195
405,515,463
406,554,516
407,465,373
408,428,336
409,436,337
410,422,327
411,397,314
412,442,338
413,422,338
414,326,285
415,1397,186
416,906,136
417,58,130
418,1311,105
419,47,215
420,511,146
421,592,143
422,1051,104
423,1283,90
424,1422,67
425,177,598
426,249,505
427,222,645
428,849,158
429,1113,235
430,237,637
431,296,663
432,262,428
433,392,390
434,443,365
435,841,252
436,1516,271
437,837,297
438,491,487
439,280,648
440,1516,333
441,460,436
442,250,532
443,256,638
444,892,245
445,1520,25
446,815,252
447,500,547
448,214,641
449,824,260
450,824,260
451,821,262
452,819,259
453,822,294
454,323,349
455,792,401
456,1616,16
457,690,144
458,823,260
459,702,154
460,1096,609
461,373,661
462,405,663
463,1313,484
464,368,154
465,1614,15
466,1614,14
467,428,393
468,434,401
469,923,257
470,843,390
471,526,587
472,871,359
473,337,339
474,350,319
475,336,408
476,1383,75
477,1345,87
478,1380,98
479,1513,118
480,1551,133
481,1616,167
482,804,424
483,1590,152
484,1593,157
485,1593,154
486,1252,389
487,1296,422
488,1294,382
489,1310,415
490,345,177
491,1350,480
492,135,252
493,1155,519
494,1078,546
495,1083,580
496,889,660
497,364,709
498,522,568
499,493,475
500,541,545
501,460,365
502,412,339
503,437,351
504,425,344
505,417,340
506,373,315
507,259,380
508,217,423
509,1468,104
510,1464,103
511,1411,111
512,1492,76
513,268,646
514,208,431
515,1543,347
516,1187,648
517,639,189
518,1342,110
519,1615,16
520,289,562
521,1317,107
522,914,239
523,518,474
524,514,435
525,360,210
526,1546,702
527,1626,123
528,198,612
529,221,673
530,1618,510
531,1543,415
532,1548,330
533,1609,233
534,1592,160
535,1408,140
536,278,656
537,284,662
538,1616,17
539,688,349
540,1588,19
541,368,154
542,368,154
543,359,54
544,432,471
545,518,520
546,487,448
547,447,370
548,959,472
549,1625,230
550,570,547
551,564,184
552,557,145
553,376,332
554,374,220
555,386,562
556,349,530
557,299,264
558,368,154
559,359,206
560,1491,13
561,952,491
562,322,273
563,375,219
564,375,219
565,375,219
566,1549,13
567,1391,67
568,861,21
569,1564,20
570,1563,12
571,1519,51
572,375,219
573,374,219
574,374,219
575,375,219
576,375,219
577,375,220
578,375,219
579,375,219
580,604,342
581,375,220
582,375,219
583,1253,389
584,1054,559
585,896,54
586,513,471
587,1617,423
588,1622,435
589,1601,591
590,423,377
591,573,331
592,475,395
593,481,401
594,349,377
595,255,369
596,391,370
597,405,359
598,368,154
599,518,527
600,1404,353
601,1520,659
602,1407,193
603,1330,75
604,1018,650
605,1323,303
606,1052,234
607,1161,556
608,1082,458
609,341,527
610,1363,47
611,1225,431
612,1502,116
613,1360,126
614,1310,165
615,449,480
616,1463,156
617,1093,156
618,1210,385
619,416,470
620,826,653
621,1047,91
622,1506,423
623,1483,85
624,309,646
625,1265,607
626,234,606
627,1471,369
628,1622,638
629,195,584
630,192,587
631,894,246
632,1259,625
633,368,154
634,729,347
635,368,154
636,368,154
637,368,154
638,1331,567
639,1616,16
640,477,562
641,449,425
642,1616,16
643,425,348
644,1231,166
645,1037,504
646,1598,166
647,1136,671
648,1250,687
649,192,443
650,195,590
651,230,638
652,214,630
653,415,73
654,376,98
655,197,484
656,163,537
657,174,552
658,163,539
659,178,642
660,368,154
661,368,154
662,276,477
663,226,490
664,228,495
665,291,520
666,368,155
667,1616,16
668,250,591
669,1616,16
670,365,57
671,210,610
672,174,573
673,229,378
674,1173,427
675,346,363
676,373,365
677,747,251
678,368,154
679,368,154
680,368,154
681,701,4
682,1077,302
683,862,436
684,1191,244
685,288,525
686,799,336
687,718,370
688,368,155
689,368,59
690,317,325
691,1192,371
692,183,299
693,636,184
694,676,212
695,174,98
696,683,319
697,867,303
698,915,185
699,199,299
700,189,302
701,92,270
702,1068,556
703,641,703
704,1568,164
705,858,141
706,103,251
707,515,493
708,55,664
709,810,92
710,408,318
711,223,350
712,426,369
713,534,478
714,521,455
715,543,541
716,368,154
717,848,476
718,367,155
719,1616,16
720,199,385
721,369,155
722,823,210
723,693,1
724,693,1
725,1616,16
726,422,386
727,198,407
728,272,338
729,340,323
730,369,324
731,332,307
732,331,303
733,348,303
734,394,314
735,392,306
736,1616,17
737,296,669
738,1538,652
739,1543,647
740,882,656
741,915,344
742,393,396
743,1415,46
744,443,480
745,313,660
746,366,346
747,305,271
748,1496,279
749,1502,109
750,1436,100
751,1337,123
752,1039,180
753,1581,443
754,636,100
755,613,588
756,851,243
757,1577,475
758,1143,60
759,356,268
760,673,636
761,511,219
762,167,438
763,333,346
764,193,568
765,368,154
766,368,154
767,368,154
768,368,154
769,347,324
770,330,333
771,705,450
772,353,392
773,571,454
774,679,417
775,588,430
776,375,219
777,713,251
778,796,358
779,664,218
780,1616,17
781,368,154
782,946,390
783,1614,15
784,364,208
785,1616,17
786,368,154
787,1616,17
788,1616,17
789,1616,17
790,1616,17
791,1616,17
792,1616,17
793,1616,17
794,1616,17
795,1588,19
796,1616,17
797,364,55
798,1307,453
799,1176,510
800,450,504
801,842,685
802,607,58
803,1142,152
804,462,238
805,546,536
806,404,339
807,368,154
808,452,347
809,401,316
810,445,336
811,499,376
812,277,313
813,311,684
814,308,684
815,695,485
816,527,566
817,534,510
818,368,315
819,519,370
820,539,374
821,540,369
822,543,358
823,1599,313
824,1474,173
825,457,404
826,1370,176
827,269,630
828,240,524
829,1174,386
830,362,332
831,341,293
832,360,291
833,358,332
834,251,390
835,239,583
836,256,626
837,321,400
838,948,267
839,928,345
840,1045,376
841,1616,16
842,1616,16
843,987,346
844,1293,446
845,361,133
846,1337,504
847,1261,441
848,227,241
849,158,232
850,134,270
851,1004,593
852,486,492
853,901,343
854,454,368
855,147,604
856,495,387
857,496,388
858,488,376
859,492,368
860,504,379
861,511,385
862,427,321
863,1494,171
864,1234,555
865,408,434
866,197,672
867,924,458
868,1564,504
869,1086,705
870,450,318
871,617,244
872,300,526
873,294,331
874,367,153
875,368,154
876,368,154
877,363,206
878,548,216
879,649,254
880,630,262
881,640,267
